Time,Time Code,Country Name,Country Code,"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",GDP (constant 2015 US$) [NY.GDP.MKTP.KD],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Arable land (hectares per person) [AG.LND.ARBL.HA.PC],Consumer price index (2010 = 100) [FP.CPI.TOTL],Crop production index (2014-2016 = 100) [AG.PRD.CROP.XD],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD],Households and NPISHs final consumption expenditure (% of GDP) [NE.CON.PRVT.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative) [SE.TER.CUAT.BA.ZS]","Labor force participation rate, female (% of female population ages 15+) (national estimate) [SL.TLF.CACT.FE.NE.ZS]","Children in employment, total (% of children ages 7-14) [SL.TLF.0714.ZS]"
1974,YR1974,Argentina,ARG,3.251,2.57E+11,10105.04951,5.533804396,,,0.966885574,,30.18,39.59,63.97287329,66.563,54.8,66.1,,,
1974,YR1974,Brazil,BRA,4.502,5.27E+11,4962.922366,8.153938685,,,0.307975976,,25.7,21.48,67.73728553,58.881,92.4,119,,,
1974,YR1974,France,FRA,2.18,1.11E+12,20813.4449,4.300919143,1.4,10.5,0.323465677,21.03814074,87.97,89.9,53.95093806,72.60487805,12.7,15.4,,,
1974,YR1974,Germany,DEU,1.51,1.59E+12,20141.93948,0.890068741,,,0.152214648,40.42795313,91.47,92.26,55.73318042,71.41892683,18.7,22,,,
1974,YR1974,Poland,POL,2.26,,,,1.6,,0.438375376,0.023312701,128.33,115.44,,71.11707317,25.6,29,,,
1974,YR1974,Nigeria,NGA,6.703,1.40E+11,2286.364765,11.16067455,,,0.418457583,0.141357436,25.19,24.72,,42.791,148.6,251.4,,,
1974,YR1974,Kenya,KEN,7.907,14907110912,1128.988828,4.065617349,,,0.265072214,1.262465277,21.18,23.23,64.42915056,55.634,84.3,135.5,,,
1974,YR1974,United Kingdom,GBR,1.92,1.20E+12,21412.35121,-2.484403897,1.1,,0.1256803,13.86109765,76.41,84.7,68.52347164,72.52439024,16,18.7,,,
1974,YR1974,China,CHN,4.17,2.84E+11,315.816664,2.310000003,0.92,1.850000024,0.109357472,,23.24,18.43,51.87961948,60.168,65.2,90.2,,,
1974,YR1974,Japan,JPN,2.05,1.77E+12,16046.78468,-1.225239828,1.1,,0.045187996,50.12072202,135.37,94.71,47.44899866,73.67219512,10.6,14,,46.5,
