year,country_name,gdp_per_capita_2015_dollar,physicians_per_1000,hospital_beds_per_1000,crop_production_index,life_expectancy_at_birth,total_fertility_rate
1990,Argentina,8144.494294,2.68,4.594299793,39.14,71.784,3.034
1990,Brazil,6086.077553,1.074,3.345299959,41.03,65.985,2.905
1990,France,28617.44357,3.118,9.699999809,98.6,76.6,1.77
1990,Germany,29485.70997,2.762,10.39999962,89.56,75.08563415,1.45
1990,Poland,5111.34533,2.145,5.699999809,128.14,70.8902439,2.06
1990,Nigeria,1608.779561,0.185,1.668200016,38.98,46.037,6.459
1990,Kenya,1313.859163,0.138,1.647199988,36.73,58.614,6.129
1990,United Kingdom,30874.50893,1.618,5.900000095,98.26,75.8804878,1.83
1990,China,905.0324572,1.129,2.579999924,40.1,68.005,2.514
1990,Japan,28422.21312,1.649,15.60000038,123.84,78.83707317,1.54
1991,Argentina,8762.661384,2.6625,4.596199830333333,42.3,72.319,3.012
1991,Brazil,6043.432634,1.101,3.3968666393333335,41.89,66.31,2.815
1991,France,28664.13188,3.171,9.600000382,91.09,76.84878049,1.75
1991,Germany,30766.92896,2.762,10.10000038,81.2,75.3195122,1.33
1991,Poland,4735.927698,2.173,5.699999809,117.55,70.58780488,2.07
1991,Nigeria,1573.702248,0.185,1.6213800144,44.86,45.691,6.426
1991,Kenya,1290.633547,0.138,1.6682666556666665,52.99,58.005,5.935
1991,United Kingdom,30439.64586,1.633,5.599999905,98.62,76.08292683,1.82
1991,China,975.4629156,1.142,2.599999905,41.28,68.169,1.934
1991,Japan,29308.27409,1.6755,15.60000038,123.21,79.03682927,1.53
1992,Argentina,9327.859451,2.645,4.598099867666667,43.01,72.43,2.987
1992,Brazil,5911.687023,1.128,3.4484333196666666,44.32,66.708,2.719
1992,France,28977.8889,3.223,9.399999619,100.14,77.1,1.74
1992,Germany,31121.07057,2.841,9.899999619,81.59,75.8195122,1.29
1992,Poland,4840.168585,2.189,5.599999905,95.57,71.0902439,1.95
1992,Nigeria,1605.548136,0.185,1.5745600128,48.45,45.668,6.391
1992,Kenya,1242.018953,0.138,1.6893333233333332,53.83,57.259,5.746
1992,United Kingdom,30479.197,1.646,5.400000095,102.32,76.43414634,1.79
1992,China,1100.646116,1.155,2.619999886,42.68,68.734,1.776
1992,Japan,29462.65397,1.702,15.60000038,129.02,79.0802439,1.5
1993,Argentina,9957.256522,2.7046666666666668,4.599999905,40.78,72.565,2.966
1993,Brazil,6103.377215,1.155,3.5,43.62,67.109,2.672
1993,France,28670.88633,3.251,9.300000191,90.41,77.3,1.73
1993,Germany,30615.14021,2.937,9.699999809,82.24,75.87073171,1.28
1993,Poland,5008.349089,2.228,5.599999905,124.11,71.59512195,1.87
1993,Nigeria,1533.183686,0.192,1.5277400112,50.95,45.788,6.354
1993,Kenya,1210.272533,0.138,1.7103999909999998,53.74,56.617,5.574
1993,United Kingdom,31163.27534,1.684,5.099999905,95.91,76.38536585,1.76
1993,China,1239.129373,1.168,2.630000114,45.5,69.216,1.691
1993,Japan,29232.43979,1.737,15.60000038,113.05,79.30365854,1.46
1994,Argentina,10397.37929,2.7643333333333335,4.163333257333333,43.86,73.172,2.935
1994,Brazil,6358.678787,1.184,3.369999965,47.23,67.568,2.617
1994,France,29237.53551,3.286,9.100000382,91.26,77.64878049,1.73
1994,Germany,31238.87906,3.009,9.699999809,79.25,76.27073171,1.24
1994,Poland,5262.315235,2.286,5.599999905,96.03,71.69512195,1.81
1994,Nigeria,1467.091921,0.203,1.4809200096,52.37,45.513,6.319
1994,Kenya,1206.873242,0.135,1.7314666586666665,55.37,56.273,5.446
1994,United Kingdom,32279.53374,1.698,4.800000191,91.29,76.88536585,1.74
1994,China,1384.930157,1.181,2.630000114,46.34,69.52,1.628
1994,Japan,29466.75525,1.772,15.5,128.21,79.69682927,1.5
1995,Argentina,9969.331576,2.824,3.7266666096666667,49.49,73.133,2.864
1995,Brazil,6524.518853,1.214,3.23999993,48.36,67.919,2.579
1995,France,29745.12873,3.307,8.899999619,93.05,77.75121951,1.74
