,year,year_code,country_name,country_code,total_fertility_rate,gdp_2015_dollar,gdp_per_capita_2015_dollar,gdp_growth,physicians_per_1000,hospital_beds_per_1000,arable_land_hectare_per_person,cpi,crop_production_index,food_production_index,percent_of_household_expenditure_in_gdp,life_expectancy_at_birth,infant_mortality_rate,child_mortality_rate,female_percentage_in_labor
160,1990,YR1990,Argentina,ARG,3.034,266000000000.0,8144.494294,-2.467213778,2.68,4.594299793,0.814243498,,39.14,50.98,77.13937288,71.784,25.4,28.8,29.11
161,1990,YR1990,Brazil,BRA,2.905,917000000000.0,6086.077553,-4.35,1.074,3.345299959,0.314120605,0.000892704,41.03,38.46,59.30249784,65.985,52.5,63.0,44.951
162,1990,YR1990,France,FRA,1.77,1660000000000.0,28617.44357,2.923935081,3.118,9.699999809,0.306398339,71.18812578,98.6,101.62,55.2059426,76.6,7.5,9.0,46.701
163,1990,YR1990,Germany,DEU,1.45,2340000000000.0,29485.70997,5.255006083,,10.39999962,0.150705571,67.47511036,89.56,99.54,56.346298,75.08563415,7.0,8.5,45.355
164,1990,YR1990,Poland,POL,2.06,195000000000.0,5111.34533,,2.145,5.699999809,0.377530957,6.983705296,128.14,116.13,,70.8902439,15.2,17.4,
165,1990,YR1990,Nigeria,NGA,6.459,153000000000.0,1608.779561,11.77688593,,1.668200016,0.294850802,2.413855134,38.98,39.15,,46.037,124.4,209.6,
166,1990,YR1990,Kenya,KEN,6.129,30431959354.0,1313.859163,4.192050972,,1.647199988,0.215436579,8.669019857,36.73,42.71,62.38967339,58.614,64.4,100.9,
167,1990,YR1990,United Kingdom,GBR,1.83,1770000000000.0,30874.50893,0.733755496,1.618,5.900000095,0.115638064,61.09672647,98.26,97.83,66.45464914,75.8804878,7.9,9.3,52.444
168,1990,YR1990,China,CHN,2.514,1030000000000.0,905.0324572,3.920251368,1.129,2.579999924,0.109057114,40.44026323,40.1,35.78,49.99260181,68.005,42.8,53.7,73.02
169,1990,YR1990,Japan,JPN,1.54,3510000000000.0,28422.21312,4.840929057,1.649,,0.038614166,94.53432995,123.84,108.84,50.46461582,78.83707317,4.6,6.3,50.116
170,1991,YR1991,Argentina,ARG,3.012,290000000000.0,8762.661384,9.133110567,,,0.805901981,,42.3,52.87,80.44422596,72.319,25.1,28.3,39.6
171,1991,YR1991,Brazil,BRA,2.815,927000000000.0,6043.432634,1.032189585,,,0.301467795,0.004756207,41.89,40.32,61.56819162,66.31,50.4,60.2,44.02
172,1991,YR1991,France,FRA,1.75,1680000000000.0,28664.13188,1.048175847,3.171,9.600000382,0.304508843,73.47569023,91.09,98.44,55.0567232,76.84878049,7.1,8.6,46.877
173,1991,YR1991,Germany,DEU,1.33,2460000000000.0,30766.92896,5.108261522,2.762,10.10000038,0.144462407,70.20585007,81.2,92.12,56.03827721,75.3195122,6.6,8.0,48.137
174,1991,YR1991,Poland,POL,2.07,181000000000.0,4735.927698,-7.015578793,2.173,5.699999809,0.375462206,12.34506088,117.55,108.31,,70.58780488,14.8,16.9,
175,1991,YR1991,Nigeria,NGA,6.426,154000000000.0,1573.702248,0.358352602,,,0.296871507,2.727824622,44.86,44.38,,45.691,124.1,209.1,40.3
176,1991,YR1991,Kenya,KEN,5.935,30869676465.0,1290.633547,1.438346792,,,0.213101008,10.41014877,52.99,53.64,63.51437586,58.005,65.7,104.0,
177,1991,YR1991,United Kingdom,GBR,1.82,1750000000000.0,30439.64586,-1.103121658,1.633,5.599999905,0.114358063,65.65563159,98.62,98.39,67.09445202,76.08292683,7.4,8.7,52.27
178,1991,YR1991,China,CHN,1.934,1120000000000.0,975.4629156,9.262786085,,2.599999905,0.108513356,41.87859627,41.28,37.33,47.9171579,68.169,42.5,53.2,
179,1991,YR1991,Japan,JPN,1.53,3630000000000.0,29308.27409,3.523357235,,,0.038236907,97.60805554,123.21,108.74,49.95509941,79.03682927,4.5,6.2,50.678
180,1992,YR1992,Argentina,ARG,2.987,313000000000.0,9327.859451,7.937291556,2.645,,0.79792578,,43.01,53.03,81.85652656,72.43,24.4,27.6,35.2
181,1992,YR1992,Brazil,BRA,2.719,922000000000.0,5911.687023,-0.54407205,1.128,,0.289369926,0.050033488,44.32,42.55,61.51919593,66.708,48.2,57.2,53.177
182,1992,YR1992,France,FRA,1.74,1710000000000.0,28977.8889,1.599342677,3.223,9.399999619,0.303261126,75.21247954,100.14,102.42,55.11126162,77.1,6.7,8.1,47.303
183,1992,YR1992,Germany,DEU,1.29,2510000000000.0,31121.07057,1.923076559,2.841,9.899999619,0.142227066,73.75614444,81.59,87.29,56.02029306,75.8195122,6.2,7.6,47.866
184,1992,YR1992,Poland,POL,1.95,186000000000.0,4840.168585,2.514978614,2.189,5.599999905,0.373712972,18.03595643,95.57,93.4,,71.0902439,14.4,16.5,62.594
185,1992,YR1992,Nigeria,NGA,6.391,161000000000.0,1605.548136,4.631192946,0.185,,0.30045304,3.944130052,48.45,47.68,,45.668,123.6,208.3,
186,1992,YR1992,Kenya,KEN,5.746,30622875267.0,1242.018953,-0.799493959,,,0.214635766,13.25548857,53.83,54.09,67.30425088,57.259,66.6,106.7,
187,1992,YR1992,United Kingdom,GBR,1.79,1760000000000.0,30479.197,0.40108203,1.646,5.400000095,0.11382345,68.67024228,102.32,100.87,68.15940372,76.43414634,6.9,8.2,52.385
188,1992,YR1992,China,CHN,1.776,1280000000000.0,1100.646116,14.22452959,,2.619999886,0.105496279,44.53955446,42.68,39.58,45.27461981,68.734,41.9,52.2,
189,1992,YR1992,Japan,JPN,1.5,3670000000000.0,29462.65397,0.900586066,1.702,,0.037886277,99.32623361,129.02,112.22,50.70164067,79.0802439,4.4,6.1,50.729
190,1993,YR1993,Argentina,ARG,2.966,339000000000.0,9957.256522,8.206979072,,4.599999905,0.790249224,,40.78,53.09,69.20596257,72.565,23.6,26.6,37.9
191,1993,YR1993,Brazil,BRA,2.672,967000000000.0,6103.377215,4.924690004,1.155,3.5,0.277699804,1.014369318,43.62,42.98,60.08239899,67.109,45.8,54.1,52.53
192,1993,YR1993,France,FRA,1.73,1690000000000.0,28670.88633,-0.628666352,3.251,9.300000191,0.305108607,76.79529818,90.41,96.96,55.367523,77.3,6.2,7.5,47.775
193,1993,YR1993,Germany,DEU,1.28,2480000000000.0,30615.14021,-0.976849818,2.937,9.699999809,0.14387042,77.05641956,82.24,86.23,56.65952744,75.87073171,5.9,7.2,47.604
194,1993,YR1993,Poland,POL,1.87,193000000000.0,5008.349089,3.738310295,2.228,5.599999905,0.371931262,24.70279742,124.11,105.84,,71.59512195,13.9,16.0,62.131
195,1993,YR1993,Nigeria,NGA,6.354,158000000000.0,1533.183686,-2.035118774,0.192,,0.292871455,6.198801969,50.95,50.64,,45.788,123.1,207.2,
196,1993,YR1993,Kenya,KEN,5.574,30731034422.0,1210.272533,0.353197256,0.138,,0.199276696,19.35021392,53.74,53.68,63.12596642,56.617,67.1,108.7,
197,1993,YR1993,United Kingdom,GBR,1.76,1800000000000.0,31163.27534,2.48983102,1.684,5.099999905,0.105529215,70.42722397,95.91,97.93,69.11539858,76.38536585,6.6,7.7,52.468
198,1993,YR1993,China,CHN,1.691,1460000000000.0,1239.129373,13.8837293,,2.630000114,0.102932691,51.04681839,45.5,43.25,43.99616115,69.216,41.0,50.9,
199,1993,YR1993,Japan,JPN,1.46,3650000000000.0,29232.43979,-0.459219716,,15.60000038,0.037531343,100.5609043,113.05,105.03,51.77879864,79.30365854,4.4,6.0,50.329
200,1994,YR1994,Argentina,ARG,2.935,359000000000.0,10397.37929,5.836200704,,,0.782807213,,43.86,55.66,69.92190499,73.172,22.6,25.4,36.8
201,1994,YR1994,Brazil,BRA,2.617,1020000000000.0,6358.678787,5.852870362,1.184,,0.266404984,22.07154429,47.23,46.25,59.63732748,67.568,43.4,51.0,
202,1994,YR1994,France,FRA,1.73,1730000000000.0,29237.53551,2.358408439,3.286,9.100000382,0.305021686,78.06665611,91.26,98.15,55.00196209,77.64878049,5.7,7.0,47.97
203,1994,YR1994,Germany,DEU,1.24,2540000000000.0,31238.87906,2.391892071,3.009,9.699999809,0.14495628,79.13159239,79.25,83.33,56.19195977,76.27073171,5.5,6.8,47.781
204,1994,YR1994,Poland,POL,1.81,203000000000.0,5262.315235,5.292802067,2.286,5.599999905,0.371017542,32.85256564,96.03,88.17,,71.69512195,13.3,15.3,62.085
205,1994,YR1994,Nigeria,NGA,6.319,155000000000.0,1467.091921,-1.814924485,,,0.293961125,9.734084664,52.37,52.48,,45.513,122.3,205.9,
206,1994,YR1994,Kenya,KEN,5.446,31540116339.0,1206.873242,2.632784518,,,0.208619171,24.92585992,55.37,54.88,62.41638725,56.273,66.9,109.6,
207,1994,YR1994,United Kingdom,GBR,1.74,1870000000000.0,32279.53374,3.846009161,1.698,4.800000191,0.102150245,71.99001295,91.29,98.07,69.08732911,76.88536585,6.3,7.4,52.5
208,1994,YR1994,China,CHN,1.628,1650000000000.0,1384.930157,13.03680663,,2.630000114,0.101272408,63.42923988,46.34,45.76,44.08781767,69.52,39.9,49.3,
209,1994,YR1994,Japan,JPN,1.5,3690000000000.0,29466.75525,1.083383174,1.772,15.5,0.037226989,101.2602632,128.21,110.73,52.72983177,79.69682927,4.2,5.9,50.177
210,1995,YR1995,Argentina,ARG,2.864,348000000000.0,9969.331576,-2.845209611,,,0.775622809,,49.49,58.99,68.56078874,73.133,21.5,24.2,41.33
211,1995,YR1995,Brazil,BRA,2.579,1070000000000.0,6524.518853,4.223793634,1.214,,0.260299756,36.64031594,48.36,48.91,63.7064387,67.919,41.0,47.9,50.235
212,1995,YR1995,France,FRA,1.74,1770000000000.0,29745.12873,2.106629158,3.307,8.899999619,0.305206302,79.46910908,93.05,100.3,54.71047951,77.75121951,5.3,6.5,48.216
213,1995,YR1995,Germany,DEU,1.25,2580000000000.0,31628.15981,1.544146496,3.075,9.699999809,0.144898169,80.4817043,83.52,85.8,55.84225777,76.42195122,5.3,6.5,47.677
