year,country_name,total_fertility_rate,child_mortality_rate,food_production_index,percent_of_household_expenditure_in_gdp,gdp_per_capita_2015_dollar,physicians_per_1000
1990,Argentina,3.034,28.8,50.98,77.13937288,8144.494294,2.68
1990,Brazil,2.905,63.0,38.46,59.30249784,6086.077553,1.074
1990,France,1.77,9.0,101.62,55.2059426,28617.44357,3.118
1990,Germany,1.45,8.5,99.54,56.346298,29485.70997,
1990,Poland,2.06,17.4,116.13,,5111.34533,2.145
1990,Nigeria,6.459,209.6,39.15,,1608.779561,
1990,Kenya,6.129,100.9,42.71,62.38967339,1313.859163,
1990,United Kingdom,1.83,9.3,97.83,66.45464914,30874.50893,1.618
1990,China,2.514,53.7,35.78,49.99260181,905.0324572,1.129
1990,Japan,1.54,6.3,108.84,50.46461582,28422.21312,1.649
1991,Argentina,3.012,28.3,52.87,80.44422596,8762.661384,
1991,Brazil,2.815,60.2,40.32,61.56819162,6043.432634,
1991,France,1.75,8.6,98.44,55.0567232,28664.13188,3.171
1991,Germany,1.33,8.0,92.12,56.03827721,30766.92896,2.762
1991,Poland,2.07,16.9,108.31,,4735.927698,2.173
1991,Nigeria,6.426,209.1,44.38,,1573.702248,
1991,Kenya,5.935,104.0,53.64,63.51437586,1290.633547,
1991,United Kingdom,1.82,8.7,98.39,67.09445202,30439.64586,1.633
1991,China,1.934,53.2,37.33,47.9171579,975.4629156,
1991,Japan,1.53,6.2,108.74,49.95509941,29308.27409,
1992,Argentina,2.987,27.6,53.03,81.85652656,9327.859451,2.645
1992,Brazil,2.719,57.2,42.55,61.51919593,5911.687023,1.128
1992,France,1.74,8.1,102.42,55.11126162,28977.8889,3.223
1992,Germany,1.29,7.6,87.29,56.02029306,31121.07057,2.841
1992,Poland,1.95,16.5,93.4,,4840.168585,2.189
1992,Nigeria,6.391,208.3,47.68,,1605.548136,0.185
1992,Kenya,5.746,106.7,54.09,67.30425088,1242.018953,
1992,United Kingdom,1.79,8.2,100.87,68.15940372,30479.197,1.646
1992,China,1.776,52.2,39.58,45.27461981,1100.646116,
1992,Japan,1.5,6.1,112.22,50.70164067,29462.65397,1.702
1993,Argentina,2.966,26.6,53.09,69.20596257,9957.256522,
1993,Brazil,2.672,54.1,42.98,60.08239899,6103.377215,1.155
1993,France,1.73,7.5,96.96,55.367523,28670.88633,3.251
1993,Germany,1.28,7.2,86.23,56.65952744,30615.14021,2.937
1993,Poland,1.87,16.0,105.84,,5008.349089,2.228
1993,Nigeria,6.354,207.2,50.64,,1533.183686,0.192
1993,Kenya,5.574,108.7,53.68,63.12596642,1210.272533,0.138
1993,United Kingdom,1.76,7.7,97.93,69.11539858,31163.27534,1.684
1993,China,1.691,50.9,43.25,43.99616115,1239.129373,
1993,Japan,1.46,6.0,105.03,51.77879864,29232.43979,
1994,Argentina,2.935,25.4,55.66,69.92190499,10397.37929,
1994,Brazil,2.617,51.0,46.25,59.63732748,6358.678787,1.184
1994,France,1.73,7.0,98.15,55.00196209,29237.53551,3.286
1994,Germany,1.24,6.8,83.33,56.19195977,31238.87906,3.009
1994,Poland,1.81,15.3,88.17,,5262.315235,2.286
1994,Nigeria,6.319,205.9,52.48,,1467.091921,
1994,Kenya,5.446,109.6,54.88,62.41638725,1206.873242,
1994,United Kingdom,1.74,7.4,98.07,69.08732911,32279.53374,1.698
1994,China,1.628,49.3,45.76,44.08781767,1384.930157,
1994,Japan,1.5,5.9,110.73,52.72983177,29466.75525,1.772
1995,Argentina,2.864,24.2,58.99,68.56078874,9969.331576,
1995,Brazil,2.579,47.9,48.91,63.7064387,6524.518853,1.214
1995,France,1.74,6.5,100.3,54.71047951,29745.12873,3.307
1995,Germany,1.25,6.5,85.8,55.84225777,31628.15981,3.075
1995,Poland,1.62,14.4,96.32,59.29055816,5628.446239,2.329
1995,Nigeria,6.273,203.8,54.64,,1429.012072,
1995,Kenya,5.366,109.5,57.13,69.26173616,1225.143873,0.132
1995,United Kingdom,1.71,7.2,98.78,63.70654286,33009.30415,1.757
1995,China,1.588,47.5,50.15,45.7541657,1520.029469,1.194
1995,Japan,1.42,5.7,107.87,52.74382277,30171.16379,
1996,Argentina,2.781,23.0,57.09,68.52372765,10388.53871,
1996,Brazil,2.516,44.9,48.83,65.15739922,6567.352461,1.245
1996,France,1.75,6.1,105.96,55.12606746,30057.96555,3.326
1996,Germany,1.3,6.2,87.92,56.31072458,31790.86686,3.124
1996,Poland,1.59,13.2,98.56,61.23242347,5968.114357,2.365
1996,Nigeria,6.217,201.1,57.19,,1451.819572,
1996,Kenya,5.306,108.4,55.29,76.06955253,1241.878536,
1996,United Kingdom,1.73,7.0,98.0,64.04323989,33775.5009,1.798
1996,China,1.554,45.6,52.59,46.84924222,1653.433789,1.201
1996,Japan,1.43,5.5,105.66,52.44951052,31046.17015,1.841
1997,Argentina,2.706,21.9,61.91,69.32637095,11097.38206,
1997,Brazil,2.465,42.1,50.75,65.30962969,6689.199377,1.281
1997,France,1.77,5.8,106.73,54.13416235,30650.74448,3.343
1997,Germany,1.35,5.9,88.53,56.19172424,32313.29707,3.139
1997,Poland,1.51,12.0,93.0,62.12383894,6348.841217,2.373
1997,Nigeria,6.138,197.5,59.14,,1457.227896,
1997,Kenya,5.26,106.6,54.56,77.17953611,1214.847642,
1997,United Kingdom,1.72,6.9,97.74,65.65614823,35347.76354,1.855
1997,China,1.527,43.6,54.69,45.89575779,1787.766977,1.216
1997,Japan,1.39,5.2,106.02,52.60381194,31276.19308,
1998,Argentina,2.662,20.9,66.67,69.05335622,11391.94516,3.003
1998,Brazil,2.409,39.5,51.64,64.14230076,6613.983181,1.267
1998,France,1.78,5.6,107.26,53.95807074,31633.14775,3.355
1998,Germany,1.36,5.7,89.95,55.65254515,32959.07357,3.182
1998,Poland,1.44,10.9,101.65,62.00183494,6641.085312,2.347
1998,Nigeria,6.069,193.0,61.35,,1457.70111,
1998,Kenya,5.246,103.8,60.8,77.69400906,1221.524316,
1998,United Kingdom,1.71,6.8,97.66,66.17920262,36448.26422,1.899
1998,China,1.522,41.4,57.94,45.50532406,1909.622328,1.214
1998,Japan,1.38,5.0,101.28,52.99932488,30795.08889,1.89
1999,Argentina,2.643,20.1,68.32,70.14226507,10880.20621,
1999,Brazil,2.331,37.0,55.27,64.68011944,6551.226671,1.364
1999,France,1.81,5.5,107.74,53.61302899,32546.93405,3.355
1999,Germany,1.36,5.5,92.66,56.19724396,33559.39937,3.217
1999,Poland,1.37,10.0,94.11,62.63413043,6950.797735,2.282
1999,Nigeria,6.082,187.9,64.06,,1429.405592,
1999,Kenya,5.181,100.3,62.02,78.58002959,1215.163924,
1999,United Kingdom,1.68,6.7,97.87,66.49770716,37440.79406,1.913
1999,China,1.53,39.1,60.65,46.20561664,2038.206474,1.244
1999,Japan,1.34,4.7,102.63,54.09736476,30636.26612,
2000,Argentina,2.591,19.4,69.14,69.3320118,10672.72204,
2000,Brazil,2.255,34.6,56.86,64.59270034,6745.857771,
